City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nome,64.5011,-165.4064,48.27,87,90,17.27,US,1628961563
1,arraial do cabo,-22.9661,-42.0278,66.16,88,90,5.75,BR,1628961563
2,dunedin,-45.8742,170.5036,49.8,47,64,11.01,NZ,1628961563
3,hobart,-42.8794,147.3294,55.26,63,90,5.01,AU,1628961282
4,ariquemes,-9.9133,-63.0408,99.34,21,22,3.0,BR,1628961564
5,ushuaia,-54.8,-68.3,38.86,70,20,0.0,AR,1628961564
6,inirida,3.8653,-67.9239,81.5,79,100,2.73,CO,1628961564
7,saint george,37.1041,-113.5841,93.79,33,1,5.01,US,1628961295
8,san andres,12.5847,-81.7006,82.74,75,64,15.64,CO,1628961565
9,hermanus,-34.4187,19.2345,53.8,76,0,13.94,ZA,1628961565
10,redmond,47.674,-122.1215,78.35,69,4,1.99,US,1628961271
11,mackay,-21.15,149.2,66.04,79,86,14.92,AU,1628961565
12,butaritari,3.0707,172.7902,82.35,75,67,9.19,KI,1628961566
13,new norfolk,-42.7826,147.0587,54.9,68,67,4.0,AU,1628961566
14,rikitea,-23.1203,-134.9692,74.57,81,81,16.73,PF,1628961567
15,kinsale,51.7075,-8.5306,61.97,100,75,14.97,IE,1628961568
16,castro,-24.7911,-50.0119,64.13,69,80,5.61,BR,1628961568
17,gigmoto,13.7796,124.39,79.45,84,95,4.14,PH,1628961568
18,newport,51.5877,-2.9984,74.37,73,97,9.01,GB,1628961568
19,mataura,-46.1927,168.8643,44.47,83,95,5.97,NZ,1628961569
20,vostok,46.4856,135.8833,55.31,84,83,3.29,RU,1628961569
21,bredasdorp,-34.5322,20.0403,53.28,71,0,6.91,ZA,1628961569
22,asau,46.4333,26.4,76.12,67,20,1.95,RO,1628961570
23,qaanaaq,77.484,-69.3632,40.5,99,100,7.72,GL,1628961570
24,yumen,40.2833,97.2,80.4,20,2,20.87,CN,1628961570
25,takoradi,4.8845,-1.7554,79.47,68,19,14.12,GH,1628961570
26,san luis,-33.295,-66.3356,65.73,15,0,8.72,AR,1628961571
27,kapaa,22.0752,-159.319,79.12,77,75,14.97,US,1628961571
28,punta arenas,-53.15,-70.9167,39.31,87,90,9.22,CL,1628961571
29,cape town,-33.9258,18.4232,56.1,69,0,1.01,ZA,1628961546
30,denpasar,-8.65,115.2167,78.46,94,75,11.5,ID,1628961433
31,cap malheureux,-19.9842,57.6142,72.46,71,3,5.01,MU,1628961572
32,grindavik,63.8424,-22.4338,57.15,82,75,17.27,IS,1628961572
33,port blair,11.6667,92.75,81.5,84,100,13.49,IN,1628961572
34,ribeira grande,38.5167,-28.7,79.2,69,40,13.8,PT,1628961573
35,mount gambier,-37.8333,140.7667,48.4,89,6,8.88,AU,1628961573
36,dikson,73.5069,80.5464,45.95,99,100,4.36,RU,1628961573
37,talaya,61.3833,152.75,59.99,76,68,7.83,RU,1628961574
38,matara,5.9485,80.5353,78.8,85,94,12.55,LK,1628961574
39,tiarei,-17.5333,-149.3333,73.42,76,47,9.53,PF,1628961574
40,awbari,26.5921,12.7805,94.78,12,0,14.88,LY,1628961575
41,san patricio,28.017,-97.5169,93.9,48,28,5.82,US,1628961575
42,omboue,-1.5746,9.2618,77.4,81,98,9.75,GA,1628961575
43,tombouctou,20.0,-3.0,109.92,8,28,15.88,ML,1628961576
44,surgut,61.25,73.4167,68.18,73,0,6.71,RU,1628961576
45,leningradskiy,69.3833,178.4167,40.55,87,100,22.46,RU,1628961576
46,upernavik,72.7868,-56.1549,46.33,94,100,10.4,GL,1628961576
47,bethel,41.3712,-73.414,88.77,65,20,5.75,US,1628961577
48,jamestown,42.097,-79.2353,76.32,53,20,5.75,US,1628961577
49,port alfred,-33.5906,26.891,59.16,72,82,17.29,ZA,1628961577
50,yako,12.9667,-2.2667,78.01,75,100,1.52,BF,1628961578
51,kirillov,59.863,38.3813,64.33,80,76,5.99,RU,1628961578
52,korla,41.7597,86.1469,81.77,28,98,7.56,CN,1628961578
53,saint-philippe,-21.3585,55.7679,71.19,86,65,17.65,RE,1628961578
54,albany,42.6001,-73.9662,82.47,74,80,9.86,US,1628961579
55,tiksi,71.6872,128.8694,40.57,83,92,6.31,RU,1628961579
56,isangel,-19.55,169.2667,67.3,75,55,14.18,VU,1628961580
57,hilo,19.7297,-155.09,73.13,89,75,3.44,US,1628961448
58,chuy,-33.6971,-53.4616,57.18,92,100,6.69,UY,1628961580
59,bergen,60.392,5.328,63.09,82,40,11.5,NO,1628961580
60,henties bay,-22.116,14.2845,52.86,78,0,3.0,NA,1628961581
61,dong hoi,17.4833,106.6,82.0,71,100,8.63,VN,1628961442
62,tasiilaq,65.6145,-37.6368,50.16,87,29,8.23,GL,1628961581
63,prince albert,53.2001,-105.7677,78.75,44,90,6.91,CA,1628961582
64,rio grande,-32.035,-52.0986,64.51,86,98,10.33,BR,1628961582
65,abhar,36.1468,49.218,69.94,55,9,7.56,IR,1628961582
66,mackenzie,55.2999,-123.1698,66.42,68,75,11.5,CA,1628961584
67,san quintin,30.4833,-115.95,76.86,64,0,13.04,MX,1628961584
68,cidreira,-30.1811,-50.2056,62.06,84,51,17.16,BR,1628961584
69,victoria,22.2855,114.1577,83.32,84,100,1.01,HK,1628961370
70,nelson bay,-32.7167,152.15,53.96,94,0,5.75,AU,1628961585
71,provideniya,64.3833,-173.3,48.29,98,100,5.55,RU,1628961585
72,najran,17.4924,44.1277,90.25,11,7,7.47,SA,1628961585
73,boizenburg,53.3833,10.7167,71.46,71,62,11.48,DE,1628961586
74,lavrentiya,65.5833,-171.0,45.45,96,99,6.46,RU,1628961586
75,north bend,43.4065,-124.2243,68.92,88,90,8.05,US,1628961586
76,kavieng,-2.5744,150.7967,82.78,77,42,15.95,PG,1628961586
77,avarua,-21.2078,-159.775,69.85,78,40,6.91,CK,1628961548
78,touros,-5.1989,-35.4608,88.7,52,40,20.87,BR,1628961587
79,buy,58.4786,41.53,66.34,63,92,5.28,RU,1628961587
80,znamenskoye,57.1281,73.8282,55.87,93,89,5.21,RU,1628961588
81,narsaq,60.9167,-46.05,53.82,79,100,1.23,GL,1628961588
82,atuona,-9.8,-139.0333,77.81,80,28,17.34,PF,1628961588
83,mar del plata,-38.0023,-57.5575,57.22,72,20,10.36,AR,1628961589
84,alofi,-19.0595,-169.9187,66.09,94,38,4.61,NU,1628961589
85,goderich,43.7501,-81.7165,72.03,52,0,11.5,CA,1628961314
86,saldanha,-33.0117,17.9442,55.0,70,0,12.1,ZA,1628961589
87,chokurdakh,70.6333,147.9167,40.82,76,100,12.91,RU,1628961590
88,esperance,-33.8667,121.9,49.84,74,42,7.47,AU,1628961590
89,college,64.8569,-147.8028,51.75,85,75,3.44,US,1628961572
90,busselton,-33.65,115.3333,44.1,87,0,7.81,AU,1628961590
91,severo-kurilsk,50.6789,156.125,52.41,87,9,8.61,RU,1628961591
92,svetlogorsk,52.6333,29.7333,70.65,56,64,4.43,BY,1628961591
93,salalah,17.0151,54.0924,78.89,83,90,8.05,OM,1628961591
94,mwanza,-2.5167,32.9,80.37,37,75,6.6,TZ,1628961591
95,bongor,10.2806,15.3722,74.97,85,94,1.95,TD,1628961592
